scenario,fleet_size,origin,destination,metric,n,mean,std,ci_low,ci_high,confidence
low,4,LYBE,JUG,wait_to_boarding_min_mean,2,13.831494916552202,1.0138211144021618,4.722673598338764,22.94031623476564,0.95
low,4,LYBE,JUG,wait_to_boarding_min_p95,2,20.997348867919946,4.52565055813272,-19.66400814772357,61.658705883563464,0.95
low,4,LYBE,LYBV,boarded_passengers,2,23.5,0.7071067811865476,17.146897631912672,29.853102368087328,0.95
low,4,LYBE,LYBV,completed_journeys,2,23.5,0.7071067811865476,17.146897631912672,29.853102368087328,0.95
low,4,LYBE,LYBV,extra_after_boarding_min_max,2,6.148454757135733,0.0081156409115459,6.075538616511016,6.221370897760449,0.95
low,4,LYBE,LYBV,extra_after_boarding_min_mean,2,1.4158739263319113,0.7767302699738462,-5.562770669970021,8.394518522633843,0.95
low,4,LYBE,LYBV,extra_after_boarding_min_p95,2,3.998290496973035,1.2811401459971758,-7.512297029466105,15.508878023412176,0.95
low,4,LYBE,LYBV,fraction_boarding_within_wait_limit,2,0.7010869565217391,0.06917348946390138,0.07958781181754404,1.3225861012259341,0.95
low,4,LYBE,LYBV,generated_passengers,2,23.5,0.7071067811865476,17.146897631912672,29.853102368087328,0.95
low,4,LYBE,LYBV,journey_duration_min_max,2,44.216027988685894,0.7614394538898996,37.37476592421303,51.05729005315876,0.95
low,4,LYBE,LYBV,journey_duration_min_mean,2,31.059444024272445,0.8768308945530958,23.181430998786016,38.937457049758876,0.95
low,4,LYBE,LYBV,journey_duration_min_p95,2,41.847406716994044,0.10168169783726298,40.93383290818817,42.760980525799916,0.95
low,4,LYBE,LYBV,on_time_passengers,2,16.5,2.1213203435596424,-2.559307104261986,35.55930710426199,0.95
low,4,LYBE,LYBV,wait_to_boarding_min_max,2,23.989794831090272,0.12800851956995846,22.839683913683153,25.13990574849739,0.95
low,4,LYBE,LYBV,wait_to_boarding_min_mean,2,14.2271329066362,0.6118563475575544,8.729821730982728,19.724444082289672,0.95
low,4,LYBE,LYBV,wait_to_boarding_min_p95,2,21.880150172011277,1.1526372224693018,11.524115606301985,32.23618473772057,0.95
low,4,LYBV,LYBE,boarded_passengers,2,24.5,4.949747468305833,-19.971716576611307,68.9717165766113,0.95
low,4,LYBV,LYBE,completed_journeys,2,24.5,4.949747468305833,-19.971716576611307,68.9717165766113,0.95
low,4,LYBV,LYBE,extra_after_boarding_min_max,2,5.245234853593441,0.1976202458096931,3.46968739026861,7.020782316918273,0.95
low,4,LYBV,LYBE,extra_after_boarding_min_mean,2,1.0016684059727774,0.7289290426345594,-5.547499202289089,7.550836014234644,0.95
low,4,LYBV,LYBE,extra_after_boarding_min_p95,2,4.99910618504764,0.150458255336611,3.647292394387451,6.3509199757078285,0.95
low,4,LYBV,LYBE,fraction_boarding_within_wait_limit,2,0.7857142857142857,0.10101525445522103,-0.12187176686961798,1.6933003382981893,0.95
low,4,LYBV,LYBE,generated_passengers,2,24.5,4.949747468305833,-19.971716576611307,68.9717165766113,0.95
low,4,LYBV,LYBE,journey_duration_min_max,2,80.76734113104655,36.67726928067575,-248.76484908643678,410.29953134852985,0.95
low,4,LYBV,LYBE,journey_duration_min_mean,2,42.27978209527231,4.337165389844411,3.3118971277859544,81.24766706275867,0.95
low,4,LYBV,LYBE,journey_duration_min_p95,2,64.27159099891134,18.89482900590929,-105.49171221904851,234.03489421687118,0.95
low,4,LYBV,LYBE,on_time_passengers,2,19.0,1.4142135623730951,6.293795263825341,31.70620473617466,0.95
low,4,LYBV,LYBE,wait_to_boarding_min_max,2,53.15295123683694,31.26070558389484,-227.71334499619013,334.019247469864,0.95
low,4,LYBV,LYBE,wait_to_boarding_min_mean,2,15.452823111008158,3.1109930945763415,-12.498340874565422,43.40398709658174,0.95
low,4,LYBV,LYBE,wait_to_boarding_min_p95,2,36.68901925078741,13.428740649188729,-83.96342856711021,157.34146706868503,0.95
